datapath_id,version,header_length,tos,total_length,flags,offset,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,rx_bytes_ave,rx_error_ave,rx_dropped_ave,tx_bytes_ave,tx_error_ave,tx_dropped_ave,label
1,4,5,0,28,0,0,250,1,26627,227.34.107.182,10.0.0.4,0,0,0,8,123,63206,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,45783,13.251.246.9,10.0.0.4,0,0,0,8,128,62871,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,62481,139.144.55.58,10.0.0.4,0,0,0,8,51,63290,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,26064,70.207.10.61,10.0.0.4,0,0,0,8,205,62812,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,56935,160.83.56.33,10.0.0.4,0,0,0,8,155,63150,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,986,122.133.56.125,10.0.0.4,0,0,0,8,224,63027,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,50329,176.5.66.61,10.0.0.4,0,0,0,8,185,62802,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,60212,233.156.226.10,10.0.0.4,0,0,0,8,75,63380,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,10858,36.232.103.138,10.0.0.4,0,0,0,8,115,63146,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,58519,229.65.237.2,10.0.0.4,0,0,0,8,226,62901,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,42890,230.25.41.56,10.0.0.4,0,0,0,8,197,63066,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,45221,144.193.117.117,10.0.0.4,0,0,0,8,208,63265,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,3510,64.99.104.195,10.0.0.4,0,0,0,8,237,62912,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,47638,40.94.212.103,10.0.0.4,0,0,0,8,201,62980,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,5837,115.255.44.16,10.0.0.4,0,0,0,8,161,63056,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,56206,105.12.114.65,10.0.0.4,0,0,0,8,226,62779,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,28528,155.164.171.199,10.0.0.4,0,0,0,8,120,63195,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,20212,56.255.46.233,10.0.0.4,0,0,0,8,207,63050,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,10139,202.216.196.104,10.0.0.4,0,0,0,8,153,63216,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,32313,16.58.40.105,10.0.0.4,0,0,0,8,46,63329,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,29772,88.178.233.221,10.0.0.4,0,0,0,8,145,62842,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,4686,207.93.213.48,10.0.0.4,0,0,0,8,98,62891,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,18469,100.150.10.33,10.0.0.4,0,0,0,8,179,62882,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,54986,7.170.216.103,10.0.0.4,0,0,0,8,167,62996,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,6901,47.224.108.7,10.0.0.4,0,0,0,8,95,62920,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,18155,72.165.39.76,10.0.0.4,0,0,0,8,19,63044,1,42,0,0,116,0,0,DDOS_ICMP
